word,formal,lazy,keyer,usage,hint
as to,astu,astuq,,1,as to = astuq  (astu)  [1]
el paso,elpas,elpasq,,2,el paso = elpasq  (elpas)  [2]
in re,nre,nreqo,,2,in re = nreqo  (nre)  [2]
to ask,tusk,tuskq,,2,to ask = tuskq  (tusk)  [2]
to do,tdu,tduqo,,2,to do = tduqo  (tdu)  [2]
to go,tug,tugq,,2,to go = tugq  (tug)  [2]
to take,tutak,tutakq,,2,to take = tutakq  (tutak)  [2]
to us,tus,tusq,,2,to us = tusq  (tus)  [2]
we may,uema,uemaq,,2,we may = uemaq  (uema)  [2]
as the,ash,ashq,,3,as the = ashq  (ash)  [3]
at any,tne,tneq,,3,at any = tneq  (tne)  [3]
day to day,data,datao,o,3,day to day = datao (data)  [5]
I went,int,intq,,3,I went = intq  (int)  [3]
if you,efu,efuq,,3,if you = efuq  (efu)  [3]
it is,ts,tsqo,,3,it is = tsqo  (ts)  [3]
let us,les,lesq,,3,let us = lesq  (les)  [3]
may be,mab,mabq,,3,may be = mabq  (mab)  [3]
no one,non,nonq,,3,no one = nonq  (non)  [3]
of her,oer,oerq,,3,of her = oerq  (oer)  [3]
of us,os,osqo,,3,of us = osqo  (os)  [3]
on our,onr,onrq,,3,on our = onrq  (onr)  [3]
on the,onh,onhq,,3,on the = onhq  (onh)  [3]
on the contrary,onhRe,onhre,,3,on the contrary = onhre (onhRe)  [10]
on you,onu,onuq,,3,on you = onuq  (onu)  [3]
that is,thas,thasq,,3,that is = thasq  (thas)  [3]
to any,tne,tneqo,,3,to any = tneqo  (tne)  [3]
to be,tb,tbq,,3,to be = tbq  (tb)  [3]
to give,tuge,tugeq,,3,to give = tugeq  (tuge)  [3]
to place,tplas,tplasq,,3,to place = tplasq  (tplas)  [3]
to say,tsa,tsaq,,3,to say = tsaq  (tsa)  [3]
to see,tse,tseq,,3,to see = tseq  (tse)  [3]
to this,tuhs,tuhsq,,3,to this = tuhsq  (tuhs)  [3]
was not,osnt,osntq,,3,was not = osntq  (osnt)  [3]
we had,uid,uidq,,3,we had = uidq  (uid)  [3]
we hope,uhep,uhepq,,3,we hope = uhepq  (uhep)  [3]
with us,ehus,ehusq,,3,with us = ehusq  (ehus)  [3]
and the,nth,nthq,,4,and the = nthq  (nth)  [4]
and wrist,ndrest,ndresto,o,4,and wrist = ndresto (ndrest)  [2]
at his,ts,tsq,,4,at his = tsq  (ts)  [4]
at the,th,thq,,4,at the = thq  (th)  [4]
carry on,kian,kianq,,4,carry on = kianq  (kian)  [4]
did you,tdu,tduq,,4,did you = tduq  (tdu)  [4]
does not,dusn,dusnq,,4,does not = dusnq  (dusn)  [4]
few days,fdas,fdasq,,4,few days = fdasq  (fdas)  [4]
give us,ges,gesq,,4,give us = gesq  (ges)  [4]
had not,hadn,hadn,,4,had not = hadn (hadn)  [3]
he says,ess,essq,,4,he says = essq  (ess)  [4]
he was,es,esq,,4,he was = esq  (es)  [4]
I hope,ip,ipq,,4,I hope = ipq  (ip)  [4]
in our,nr,nrq,,4,in our = nrq  (nr)  [4]
in reply,nrep,nrepq,,4,in reply = nrepq  (nrep)  [4]
in the,nh,nhq,,4,in the = nhq  (nh)  [4]
it must,tms,tmsqo,,4,it must = tmsqo  (tms)  [4]
of all,oo,ooq,,4,of all = ooq  (oo)  [4]
of him,om,omq,,4,of him = omq  (om)  [4]
of his,os,osq,,4,of his = osq  (os)  [4]
of these,ohes,ohesq,,4,of these = ohesq  (ohes)  [4]
on your,onu,onuqo,,4,on your = onuqo  (onu)  [4]
per diem,prtm,prtmq,,4,per diem = prtmq  (prtm)  [4]
so well,sol,solq,,4,so well = solq  (sol)  [4]
tell us,tes,tesq,,4,tell us = tesq  (tes)  [4]
that the,thah,thahq,,4,that the = thahq  (thah)  [4]
that they,thahe,thaheq,,4,that they = thaheq  (thahe)  [4]
they had,thid,thidq,,4,they had = thidq  (thid)  [4]
to anyone,tneun,tneunq,,4,to anyone = tneunq  (tneun)  [4]
to honor,tone,toneq,,4,to honor = toneq  (tone)  [4]
to know,tno,tnoqo,,4,to know = tnoqo  (tno)  [4]
told us,tos,tosq,,4,told us = tosq  (tos)  [4]
upon the,pnh,pnh,,4,upon the = pnh (pnh)  [5]
we advise,uevis,uevisq,,4,we advise = uevisq  (uevis)  [4]
we have,uev,uevq,,4,we have = uevq  (uev)  [4]
we refer,uerf,uerfq,,4,we refer = uerfq  (uerf)  [4]
we were,uee,ueeq,,4,we were = ueeq  (uee)  [4]
wire us,irs,irsq,,4,wire us = irsq  (irs)  [4]
you may,uma,umaq,,4,you may = umaq  (uma)  [4]
allow us,als,alsq,,5,allow us = alsq  (als)  [5]
are you,ru,ruq,,5,are you = ruq  (ru)  [5]
as a rule,asrl,asrlq,,5,as a rule = asrlq  (asrl)  [5]
as low as,slos,slosq,,5,as low as = slosq  (slos)  [5]
de jure,dj,djq,,5,de jure = djq  (dj)  [5]
Dear Mr.,tmr,tmrq,,5,Dear Mr. = tmrq  (tmr)  [5]
Dear Ms.,tms,tmsq,,5,Dear Ms. = tmsq  (tms)  [5]
ex officio,esozo,esozoq,,5,ex officio = esozoq  (esozo)  [5]
few minutes,fmnets,fmnetsq,,5,few minutes = fmnetsq  (fmnets)  [5]
from its,fmts,fmts,,5,from its = fmts  (fmts)  [4]
from the,fmh,fmh,,5,from the = fmh  (fmh)  [5]
he can't,ekt,ektq,,5,he can't = ektq  (ekt)  [5]
he was not,eosnt,eosntq,,5,he was not = eosntq  (eosnt)  [5]
I am not,amn,amnq,,5,I am not = amnq  (amn)  [5]
I do not,atn,atnq,,5,I do not = atnq  (atn)  [5]
ice house,isus,isusq,,5,ice house = isusq  (isus)  [5]
it is not,tsnt,tsntq,,5,it is not = tsntq  (tsnt)  [5]
it may be,tmab,tmabq,,5,it may be = tmabq  (tmab)  [5]
it was not,tosnt,tosntq,,5,it was not = tosntq  (tosnt)  [5]
it will,tl,tlq,,5,it will = tlq  (tl)  [5]
of your,ou,ouq,,5,of your = ouq  (ou)  [5]
should be,shdb,shdbq,,5,should be = shdbq  (shdb)  [5]
there is,ths,thsq,,5,there is = thsq  (ths)  [5]
they are,thr,thrqo,,5,they are = thrqo  (thr)  [5]
to it,tut,tut,,5,to it = tut (tut)  [2]
to reduce,trus,trusq,,5,to reduce = trusq  (trus)  [5]
we always,uels,uelsq,,5,we always = uelsq  (uels)  [5]
we cannot,uekn,ueknq,,5,we cannot = ueknq  (uekn)  [5]
we do not,uetn,uetnq,,5,we do not = uetnq  (uetn)  [5]
we shall,uez,uezq,,5,we shall = uezq  (uez)  [5]
we should,uezd,uezdq,,5,we should = uezdq  (uezd)  [5]
weeks ago,eksg,eksgq,,5,weeks ago = eksgq  (eksg)  [5]
will be,lb,lbq,,5,will be = lbq  (lb)  [5]
with the,ehh,ehhq,,5,with the = ehhq  (ehh)  [5]
with you,ehu,ehuq,,5,with you = ehuq  (ehu)  [5]
write us,ris,risq,,5,write us = risq  (ris)  [5]
you are,ur,urq,,5,you are = urq  (ur)  [5]
at any date,tnetd,tnetdq,,6,at any date = tnetdq  (tnetd)  [6]
at any time,tnetm,tnetmq,,6,at any time = tnetmq  (tnetm)  [6]
costa rica,kosr,kosrq,,6,costa rica = kosrq  (kosr)  [6]
day or two,datu,datuq,,6,day or two = datuq  (datu)  [6]
for example,fesam,fesamq,,6,for example = fesamq  (fesam)  [6]
have done,vtn,vtnq,,6,have done = vtnq  (vtn)  [6]
I am sorry,amso,amsoq,,6,I am sorry = amsoq  (amso)  [6]
I am sure,amz,amzq,,6,I am sure = amzq  (amz)  [6]
I will be,alb,albq,,6,I will be = albq  (alb)  [6]
if you want,efunt,efuntq,,6,if you want = efuntq  (efunt)  [6]
in due time,ntutm,ntutmq,,6,in due time = ntutmq  (ntutm)  [6]
into the,ntuh,ntuh,,6,into the = ntuh (ntuh)  [4]
it must be,tmsb,tmsbq,,6,it must be = tmsbq  (tmsb)  [6]
jersey city,jsete,jseteq,,6,jersey city = jseteq  (jsete)  [6]
larger than,lajen,lajenq,,6,larger than = lajenq  (lajen)  [6]
must have,msv,msvq,,6,must have = msvq  (msv)  [6]
my friend,mif,mifq,,6,my friend = mifq  (mif)  [6]
of their,oh,ohq,,6,of their = ohq  (oh)  [6]
one or two,untu,untuq,,6,one or two = untuq  (untu)  [6]
point out,oet,oetq,,6,point out = oetq  (oet)  [6]
regard us,res,resu,u,6,regard us = resu (res)  [5]
thank you,thu,thu,,6,thank you = thu  (thu)  [6]
there are,thr,thrq,,6,there are = thrq  (thr)  [6]
they do not,thetn,thetnq,,6,they do not = thetnq  (thetn)  [6]
through the,thruh,thruhq,,6,through the = thruhq  (thruh)  [6]
to be done,tbtn,tbtnq,,6,to be done = tbtnq  (tbtn)  [6]
to which,tc,tcq,,6,to which = tcq  (tc)  [6]
we are not,uern,uernq,,6,we are not = uernq  (uern)  [6]
we told him,uetom,uetomq,,6,we told him = uetomq  (uetom)  [6]
you were,ue,ueq,,6,you were = ueq  (ue)  [6]
ad valorem,adv,advq,,7,ad valorem = advq  (adv)  [7]
as great as,sgrs,sgrsq,,7,as great as = sgrsq  (sgrs)  [7]
as well as,sls,slsq,,7,as well as = slsq  (sls)  [7]
at any rate,tnra,tnraq,,7,at any rate = tnraq  (tnra)  [7]
better than,bten,btenq,,7,better than = btenq  (bten)  [7]
chief clerk,cklr,cklrq,,7,chief clerk = cklrq  (cklr)  [7]
few moments,fmns,fmnsq,,7,few moments = fmnsq  (fmns)  [7]
first class,fesk,feskq,,7,first class = feskq  (fesk)  [7]
have been,vb,vbq,,7,have been = vbq  (vb)  [7]
he is to be,estb,estbq,,7,he is to be = estbq  (estb)  [7]
if you will,eful,efulq,,7,if you will = efulq  (eful)  [7]
longer than,lgen,lgenq,,7,longer than = lgenq  (lgen)  [7]
my dear sir,mads,madsq,,7,my dear sir = madsq  (mads)  [7]
on both sides,onbohs,onbohsq,,7,on both sides = onbohsq  (onbohs)  [7]
price list,pls,plsq,,7,price list = plsq  (pls)  [7]
reason why,rsi,rsiq,,7,reason why = rsiq  (rsi)  [7]
reasons why,rssi,rssiq,,7,reasons why = rssiq  (rssi)  [7]
somebody else,smbols,smbolsq,,7,somebody else = smbolsq  (smbols)  [7]
sooner than,snen,snenq,,7,sooner than = snenq  (snen)  [7]
square yard,skad,skadq,,7,square yard = skadq  (skad)  [7]
there is not,thsnt,thsntq,,7,there is not = thsntq  (thsnt)  [7]
there was not,thosnt,thosntq,,7,there was not = thosntq  (thosnt)  [7]
we are sorry,uerso,uersoq,,7,we are sorry = uersoq  (uerso)  [7]
we have done,uevtn,uevtnq,,7,we have done = uevtnq  (uevtn)  [7]
we have not,uevn,uevnq,,7,we have not = uevnq  (uevn)  [7]
we shall be,uezb,uezbq,,7,we shall be = uezbq  (uezb)  [7]
we will not,ueln,uelnq,,7,we will not = uelnq  (ueln)  [7]
week or two,ektu,ektuq,,7,week or two = ektuq  (ektu)  [7]
you always,uls,ulsq,,7,you always = ulsq  (uls)  [7]
as a result,asr,asrq,,8,as a result = asrq  (asr)  [8]
bear in mind,bami,bamiq,,8,bear in mind = bamiq  (bami)  [8]
do you know,tno,tnoq,,8,do you know = tnoq  (tno)  [8]
easterly side,esres,esresq,,8,easterly side = esresq  (esres)  [8]
either side,ehs,ehsq,,8,either side = ehsq  (ehs)  [8]
I think that,ahha,ahhaq,,8,I think that = ahhaq  (ahha)  [8]
I understand,astn,astnq,,8,I understand = astnq  (astn)  [8]
it seems to me,tsetme,tsetmeq,,8,it seems to me = tsetmeq  (tsetme)  [8]
more or less,mles,mlesq,,8,more or less = mlesq  (mles)  [8]
nearer than,nen,nenq,,8,nearer than = nenq  (nen)  [8]
on the floor,onhf,onhfq,,8,on the floor = onhfq  (onhf)  [8]
post office,pos,posq,,8,post office = posq  (pos)  [8]
that is to say,thassa,thassaq,,8,that is to say = thassaq  (thassa)  [8]
to point out,toet,toetq,,8,to point out = toetq  (toet)  [8]
to some extent,tusmes,tusmesq,,8,to some extent = tusmesq  (tusmes)  [8]
we have been,uevb,uevbq,,8,we have been = uevbq  (uevb)  [8]
we understood,uestu,uestuq,,8,we understood = uestuq  (uestu)  [8]
your letter,ule,uleq,,8,your letter = uleq  (ule)  [8]
further than,fhn,fhnq,,9,further than = fhnq  (fhn)  [9]
in the house,nus,nusq,,9,in the house = nusq  (nus)  [9]
in the morning,nhmnh,nhmnhq,,9,in the morning = nhmnhq  (nhmnh)  [9]
mere fact that,mefha,mefhaq,,9,mere fact that = mefhaq  (mefha)  [9]
parcel post,pp,ppq,,9,parcel post = ppq  (pp)  [9]
puerto rico,pr,prq,,9,puerto rico = prq  (pr)  [9]
should be able,shdba,shdbaq,,9,should be able = shdbaq  (shdba)  [9]
so far as i know,sofasno,sofasnoq,,9,so far as i know = sofasnoq  (sofasno)  [9]
some of those,smhs,smhsq,,9,some of those = smhsq  (smhs)  [9]
they were not,then,thenq,,9,they were not = thenq  (then)  [9]
we do not know,uetno,uetnoq,,9,we do not know = uetnoq  (uetno)  [9]
by reason of my,brsma,brsmaq,,10,by reason of my = brsmaq  (brsma)  [10]
caveat emptor,kmt,kmtq,,10,caveat emptor = kmtq  (kmt)  [10]
civil engineer,snje,snjeq,,10,civil engineer = snjeq  (snje)  [10]
few moments ago,fmnsg,fmnsgq,,10,few moments ago = fmnsgq  (fmnsg)  [10]
habeas corpus,abk,abkq,,10,habeas corpus = abkq  (abk)  [10]
here and there,herh,herhq,,10,here and there = herhq  (herh)  [10]
in a day or two,ntatu,ntatuq,,10,in a day or two = ntatuq  (ntatu)  [10]
in my judgment,mnij,mnijq,,10,in my judgment = mnijq  (mnij)  [10]
in such a manner,nscmne,nscmneq,,10,in such a manner = nscmneq  (nscmne)  [10]
ought to have,otv,otvq,,10,ought to have = otvq  (otv)  [10]
south dakota,sd,sdq,,10,south dakota = sdq  (sd)  [10]
supreme court,skt,sktq,,10,supreme court = sktq  (skt)  [10]
ticket auditor,teko,tekoq,,10,ticket auditor = tekoq  (teko)  [10]
two years ago,trg,trgq,,10,two years ago = trgq  (trg)  [10]
up to the time,uptm,uptmq,,10,up to the time = uptmq  (uptm)  [10]
would be able,dba,dbaq,,10,would be able = dbaq  (dba)  [10]
at the same time,tsatm,tsatmq,,11,at the same time = tsatmq  (tsatm)  [11]
by reaon of the,brsh,brshq,,11,by reaon of the = brshq  (brsh)  [11]
central america,snam,snamq,,11,central america = snamq  (snam)  [11]
civil service,ss,ssq,,11,civil service = ssq  (ss)  [11]
first class manner,feskmne,feskmneq,,11,first class manner = feskmneq  (feskmne)  [11]
for a day or two,fdatu,fdatuq,,11,for a day or two = fdatuq  (fdatu)  [11]
in a week or two,nektu,nektuq,,11,in a week or two = nektuq  (nektu)  [11]
in reply to your,nrepu,nrepuq,,11,in reply to your = nrepuq  (nrepu)  [11]
joint resolution,jrsoz,jrsozq,,11,joint resolution = jrsozq  (jrsoz)  [11]
locomotive engineer,lokdfnje,lokdfnjeq,,11,locomotive engineer = lokdfnjeq  (lokdfnje)  [11]
national defense,nazdf,nazdfq,,11,national defense = nazdfq  (nazdf)  [11]
northeast quarter,neskte,neskteq,,11,northeast quarter = neskteq  (neskte)  [11]
on the other hand,onuhnd,onuhndq,,11,on the other hand = onuhndq  (onuhnd)  [11]
passenger coach,pkoc,pkocq,,11,passenger coach = pkocq  (pkoc)  [11]
southeast quarter,seskte,seskteq,,11,southeast quarter = seskteq  (seskte)  [11]
to a large extent,tlajes,tlajesq,,11,to a large extent = tlajesq  (tlajes)  [11]
two or three months,tuhemnhs,tuhemnhsq,,11,two or three months = tuhemnhsq  (tuhemnhs)  [11]
what has been done,otasbtn,otasbtnq,,11,what has been done = otasbtnq  (otasbtn)  [11]
at an early date,tetd,tetdq,,12,at an early date = tetdq  (tetd)  [12]
by reason of that,brsha,brshaq,,12,by reason of that = brshaq  (brsha)  [12]
for the purpose,fhp,fhpq,,12,for the purpose = fhpq  (fhp)  [12]
freight engineer,fnje,fnjeq,,12,freight engineer = fnjeq  (fnje)  [12]
in order to judge,nodjj,nodjjq,,12,in order to judge = nodjjq  (nodjj)  [12]
in order to prepare,nodprep,nodprepq,,12,in order to prepare = nodprepq  (nodprep)  [12]
little or nothing,letnh,letnhq,,12,little or nothing = letnhq  (letnh)  [12]
northeasterly side,nesres,nesresq,,12,northeasterly side = nesresq  (nesres)  [12]
northwest quarter,nukte,nukteq,,12,northwest quarter = nukteq  (nukte)  [12]
on the other side,onuhs,onuhsq,,12,on the other side = onuhsq  (onuhs)  [12]
purchasing agent,prca,prcaq,,12,purchasing agent = prcaq  (prca)  [12]
sometime or other,stmuh,stmuhq,,12,sometime or other = stmuhq  (stmuh)  [12]
southwest quarter,sukte,sukteq,,12,southwest quarter = sukteq  (sukte)  [12]
whether or not,en,enq,,12,whether or not = enq  (en)  [12]
application blank,aplb,aplbq,,13,application blank = aplbq  (aplb)  [13]
as a matter of fact,asmatf,asmatfq,,13,as a matter of fact = asmatfq  (asmatf)  [13]
easterly direction,esred,esredq,,13,easterly direction = esredq  (esred)  [13]
general manager,jm,jmq,,13,general manager = jmq  (jm)  [13]
I do not understand,atnstn,atnstnq,,13,I do not understand = atnstnq  (atnstn)  [13]
in order to receive,nodrse,nodrseq,,13,in order to receive = nodrseq  (nodrse)  [13]
in the first place,nfesp,nfespq,,13,in the first place = nfespq  (nfesp)  [13]
in the usual manner,nuzmne,nuzmneq,,13,in the usual manner = nuzmneq  (nuzmne)  [13]
mechanical engineer,meknje,meknjeq,,13,mechanical engineer = meknjeq  (meknje)  [13]
northbound track,nbt,nbtq,,13,northbound track = nbtq  (nbt)  [13]
northwest corner,nuk,nukq,,13,northwest corner = nukq  (nuk)  [13]
northwesterly side,nures,nuresq,,13,northwesterly side = nuresq  (nures)  [13]
traffic manager,tm,tmq,,13,traffic manager = tmq  (tm)  [13]
as a matter of course,asmatok,asmatokq,,14,as a matter of course = asmatokq  (asmatok)  [14]
as near as possible,snesp,snespq,,14,as near as possible = snespq  (snesp)  [14]
by reason of their,brsh,brshqo,,14,by reason of their = brshqo  (brsh)  [14]
dollar and a half,dof,dofq,,14,dollar and a half = dofq  (dof)  [14]
electrical engineer,elnje,elnjeq,,14,electrical engineer = elnjeq  (elnje)  [14]
for a number of years,fnumers,fnumersq,,14,for a number of years = fnumersq  (fnumers)  [14]
glad to hear from you,glerfmu,glerfmuq,,14,glad to hear from you = glerfmuq  (glerfmu)  [14]
hope to hear from you,operfmu,operfmuq,,14,hope to hear from you = operfmuq  (operfmu)  [14]
I am of the opinion,amopn,amopnq,,14,I am of the opinion = amopnq  (amopn)  [14]
I should like to know,azdlano,azdlanoq,,14,I should like to know = azdlanoq  (azdlano)  [14]
in order to be able,nodba,nodbaq,,14,in order to be able = nodbaq  (nodba)  [14]
let us hear from you,lerfmu,lerfmuq,,14,let us hear from you = lerfmuq  (lerfmu)  [14]
such circumstances,scss,scssq,,14,such circumstances = scssq  (scss)  [14]
thank you very much,thuvm,thuvm,,14,thank you very much = thuvm  (thuvm)  [14]
westerly direction,ured,uredq,,14,westerly direction = uredq  (ured)  [14]
all over the world,ouu,ouuq,,15,all over the world = ouuq  (ouu)  [15]
at the present time,tptm,tptmq,,15,at the present time = tptmq  (tptm)  [15]
baggage department,bgd,bgdq,,15,baggage department = bgdq  (bgd)  [15]
I should like to have,azdlav,azdlavq,,15,I should like to have = azdlavq  (azdlav)  [15]
in the course of time,nkrstm,nkrstmq,,15,in the course of time = nkrstmq  (nkrstm)  [15]
member of the house,mnus,mnusq,,15,member of the house = mnusq  (mnus)  [15]
on account of the way,onakua,onakuaq,,15,on account of the way = onakuaq  (onakua)  [15]
our personal attention,rprstnz,rprstnzq,,15,our personal attention = rprstnzq  (rprstnz)  [15]
secretary of commerce,sekmye,sekmyeq,,15,secretary of commerce = sekmyeq  (sekmye)  [15]
thoroughly understood,thestu,thestuq,,15,thoroughly understood = thestuq  (thestu)  [15]
as quickly as possible,sqeqep,sqekep,,16,as quickly as possible = sqekep (sqeqep)  [16]
freight claim agent,fka,fkaq,,16,freight claim agent = fkaq  (fka)  [16]
I desire to thank you,adshu,adshuq,,16,I desire to thank you = adshuq  (adshu)  [16]
northwest territories,nutet,nutetq,,16,northwest territories = nutetq  (nutet)  [16]
respectfully yours,ru,ruqo,,16,respectfully yours = ruqo  (ru)  [16]
dollar and a quarter,dok,dokq,,17,dollar and a quarter = dokq  (dok)  [17]
general passenger agent,jpa,jpaq,,20,general passenger agent = jpaq  (jpa)  [20]
in reference to the matter,nrfmat,nrfmatq,,20,in reference to the matter = nrfmatq  (nrfmat)  [20]
you are aware of the fact,urarf,urarfq,,20,you are aware of the fact = urarfq  (urarf)  [20]
do you know whether or not,tnoen,tnoenq,,21,do you know whether or not = tnoenq  (tnoen)  [21]
mechanical superintendent,meks,meksq,,21,mechanical superintendent = meksq  (meks)  [21]
with reference to the matter,ehrfmat,ehrfmatq,,21,with reference to the matter = ehrfmatq  (ehrfmat)  [21]
assistant general manager,ajm,ajmq,,22,assistant general manager = ajmq  (ajm)  [22]
passenger traffic manager,ptm,ptmq,,22,passenger traffic manager = ptmq  (ptm)  [22]
at your earliest convenience,teskv,teskvq,,23,at your earliest convenience = teskvq  (teskv)  [23]
call your attention to the fact,kutnzf,kutnzfq,,25,call your attention to the fact = kutnzfq  (kutnzf)  [25]
kskz engineer of construction,nje,njeq,,26,kskz engineer of construction = njeq  (nje)  [26]
superintendent of motive power,smp,smpq,,27,superintendent of motive power = smpq  (smp)  [27]
for many months,fmemhs,fmemhs,,86,for many months = fmemhs (fmemhs)  [9]
for some,fsm,fsm,,86,for some = fsm (fsm)  [5]
I had,id,ido,,86,I had = ido (id)  [2]
I'd,id,idi,,86,I'd = idi (id)  [0]
little time,lettm,lettm,,86,little time = lettm (lettm)  [6]
